表名,表注释,列名,列注释,类型,长度,精度,是否是key
CLASS,班级,GCLSID,班级编码,CHAR,6,,Y
CLASS,,CLASSNM,班级名称,VARCHAR,40,,N
CLASS,,GRADEYR,学年,DECIMAL,4,0,N
STUDENT,学生,STUID,学号,CHAR,12,,Y
STUDENT,,GCLSID,所属班级,CHAR,6,,N
STUDENT,,STUNM,姓名,VARCHAR,32,,N
SCORE,考试成绩,STUID,学号,CHAR,12,,Y
SCORE,,SUBJECT,科目,VARCHAR,16,,Y
SCORE,,EXAMDATE,考试日期,DECIMAL,8,0,Y
SCORE,,SCORE_VAL,分数,DECIMAL,5,2,N
EXAM_ATTEND,考场签到（与成绩表三列复合关联）,STUID,学号,CHAR,12,,Y
EXAM_ATTEND,,SUBJECT,科目,VARCHAR,16,,Y
EXAM_ATTEND,,EXAMDATE,考试日期,DECIMAL,8,0,Y
EXAM_ATTEND,,SEATNO,座位号,DECIMAL,4,0,N
test1,TEST1,a1,A1,CHAR,5,,Y
test1,TEST1,b1,B1,CHAR,5,,Y
test1,TEST1,c1,C1,CHAR,5,,Y
test1,TEST1,d1,D1,CHAR,5,,
test1,TEST1,e1,E1,CHAR,5,,
test1,TEST1,f1,F1,CHAR,5,,
test1,TEST1,g1,G1,CHAR,5,,
